cultivar,well,target,sample,cycle_start,cycle_end,slope,r2,efficiency
kinaya,C10,CmCYP,K.15.B,15,19,0.3055217893913085,0.9986009537959977,2.0207928165198177
kinaya,C11,CmCYP,K.30.C,15,19,0.31651676480525726,0.9983124131153793,2.0726060655874066
kinaya,D01,CmACS,K.15.B,22,26,0.29636459274756083,0.9993461346678043,1.9786300144911317
kinaya,D02,CmACS,K.30.C,22,26,0.26800244639014204,0.9989307383968022,1.8535420644276537
kinaya,D03,CmACO,K.15.A,19,23,0.3308794993211391,0.9985452814556788,2.1422961106003626
kinaya,D04,CmACO,K.30.B,21,25,0.2925848737169621,0.9986067325822906,1.9614844688824251
kinaya,D05,CmACO,K.M.C,21,25,0.34288879228293984,0.9986707852055323,2.202362442394776
kinaya,D06,CmATH,K.30.A,20,24,0.30255592154557914,0.9995843098682454,2.0070395080508425
kinaya,D07,CmATH,K.M.B,22,26,0.33188442036460275,0.998673069152641,2.1472589438824095
kinaya,D08,CmEREBP,K.15.C,19,23,0.29727060165200503,0.9974331935651132,1.9827620669897439
kinaya,D09,CmEREBP,K.M.A,17,21,0.30939368255849387,0.9986670718941081,2.038889468262411
kinaya,D10,CmCYP,K.15.B,14,18,0.3484524035444508,0.9992205934018131,2.2307577144404465
kinaya,D11,CmCYP,K.30.C,16,20,0.2903487698529229,0.9984447330462536,1.951411094795831
kinaya,E01,CmACS,K.15.C,22,26,0.2928637834548106,0.9990277487059334,1.962744565083402
kinaya,E02,CmACS,K.M.A,23,27,0.28288941496042613,0.997803079062131,1.918180249435888
kinaya,E03,CmACO,K.15.B,22,26,0.2824544870435634,0.9977667567231794,1.916260233016755
kinaya,E04,CmACO,K.30.C,15,19,0.3365907913909298,0.999474533239294,2.1706549421976558
kinaya,E05,CmATH,K.15.A,23,27,0.2928352453848203,0.998851789858651,1.9626155947561168
kinaya,E06,CmATH,K.30.B,23,27,0.31908225659107425,0.9995537805109711,2.0848857288992426
kinaya,E07,CmATH,K.M.C,15,22,0.421192636729686,0.9991985092411756,2.637501022850251
kinaya,E08,CmEREBP,K.30.A,19,23,0.2735466894230359,0.9976066158750465,1.8773562352796085
kinaya,E09,CmEREBP,K.M.B,18,22,0.3120559132426456,0.9993856758526264,2.0514262726982793
kinaya,E10,CmCYP,K.15.C,17,21,0.2812821400289161,0.9957537159992117,1.9110944005678532
kinaya,E11,CmCYP,K.M.A,17,21,0.2957237342591326,0.99829276807102,1.9757124394659777
kinaya,F01,CmACS,K.15.C,22,26,0.2928637834548106,0.9990277487059334,1.962744565083402
kinaya,F02,CmACS,K.M.A,23,27,0.28288941496042613,0.997803079062131,1.918180249435888
kinaya,F03,CmACO,K.15.B,21,25,0.3023748743461429,0.9984615238594613,2.0062029946532207
kinaya,F04,CmACO,K.30.C,17,21,0.3108003173233033,0.9978095876352839,2.0455039256847
kinaya,F05,CmATH,K.15.A,22,26,0.29731496491809173,0.9997635109491965,1.9829646168669366
kinaya,F06,CmATH,K.30.B,25,29,0.2796528361312337,0.999633353097427,1.9039381501740842
kinaya,F07,CmATH,K.M.C,20,24,0.31412485259401957,0.999093957348658,2.06122239598723
kinaya,F08,CmEREBP,K.30.A,16,20,0.33665822966035197,0.9986779874012917,2.1709920327779493
kinaya,F09,CmEREBP,K.M.B,19,23,0.3005502866518739,0.998833136137667,1.9977920779870941
kinaya,F10,CmCYP,K.15.C,15,19,0.31695994195926436,0.9992195492629806,2.074722142384412
kinaya,F11,CmCYP,K.M.A,17,21,0.29977251516103537,0.9979352485452314,1.994217463857358
kinaya,G01,CmACS,K.30.A,21,25,0.30021805752838193,0.9994403472690765,1.9962643797699628
kinaya,G02,CmACS,K.M.B,23,27,0.2827036230317575,0.9984092630473141,1.917359824117841
kinaya,G03,CmACO,K.15.C,20,24,0.3144479794316808,0.999272509526574,2.0627565718477485
kinaya,G04,CmACO,K.M.A,22,26,0.29502147328185513,0.9991284519694875,1.9725202631114396
kinaya,G05,CmATH,K.15.B,23,27,0.2913702532714771,0.9991536215593808,1.9560063181096226
kinaya,G06,CmATH,K.30.C,20,24,0.3101991044200077,0.9992023465059462,2.0426742039723416
kinaya,G07,CmEREBP,K.15.A,19,23,0.2932761723421906,0.9978758338186883,1.9646091949523523
kinaya,G08,CmEREBP,K.30.B,19,23,0.3001673704385105,0.9961327336572118,1.996031406679671
kinaya,G09,CmEREBP,K.M.C,18,22,0.3032697403165681,0.9986546966510315,2.010341047818085
kinaya,G10,CmCYP,K.30.A,13,17,0.3460432966305713,0.9989942911451072,2.2184175720884007
kinaya,G11,CmCYP,K.M.B,18,22,0.30655869652799844,0.9988208818496145,2.025623358919059
kinaya,H01,CmACS,K.30.A,22,26,0.29479985469931247,0.999406259432276,1.97151395139258
